taxpayerid,countrycode,year,timeperiod,logprivatecredit,inflation,logtrade,logschooling,growthingini,growthgdppercapita,loginitialgini,span,loginitialgdppercapita,growthlowestincomeshare,loginitiallowestincomeshare
508-66-3760,BGD,1995,6,-1.510342956,379749894,3.43957305,0.878381193,-0.0118204,0.0275665,5154190.06,5,72910242,0.0065506,2.164469957
122-57-8231,BOL,1968,1,-2.106602907,641035095,3.917152882,1.530611038,-0.0105305,-0.0012522,9702920.91,22,78297510,0.0215258,1.252760053
122-57-8231,BOL,1990,2,-1.075795054,121822099,3.879241943,1.614027023,0.045198798,0.0133158,7386209.96,5,78022031,-0.114562303,1.726330042
122-57-8231,BOL,1995,3,-0.608969808,722843885,3.885375023,1.669026971,0.0003791,0.0082228,964616.06,5,78687820,0.0044106,1.153519988
308-44-1255,BRA,1960,1,1.797693135,307854309,2.563797951,1.048370957,0.0083404,0.042295299,9702920.91,10,77712540,0,1.163149953
308-44-1255,BRA,1970,2,1.797693135,279207000,2.844213963,1.094269991,0.0075784,0.071728997,536961.56,6,81942071,-0.0624489,1.163149953
308-44-1255,BRA,1976,3,1.797693135,643113098,2.83376503,1.133335948,-0.0168451,0.0147861,991659.16,5,86245813,0.068588898,0.788460016
308-44-1255,BRA,1981,4,1.797693135,157003799,2.922449112,1.24674499,-0.0032746,0.0156145,149412.16,5,86985120,0,1.131399989
308-44-1255,BRA,1986,5,-1.349647999,102661999,2.797689915,1.391281962,0.017325999,-0.004184,9985680.58,7,87765846,-0.051613402,1.131399989
308-44-1255,BRA,1993,6,-1.102462053,723971923,2.878235102,1.492903948,-0.0084624,0.0134733,1198501.59,5,87472963,0.0355362,0.770110011
460-01-1523,BWA,1985,1,-2.317955971,128716497,4.650877953,1.281489015,-0.0006372,0.0374205,9928650.86,9,83226728,0.044009998,1.280930042
027-16-0327,CAN,1965,1,-1.186174035,428629112,3.706579924,2.176455021,0.0032891,0.025495101,4534740.45,6,94290018,-0.0131263,1.96431005
027-16-0327,CAN,1971,2,-0.77408731,877728080,3.818583012,2.278496981,-0.0014017,0.032866601,4732079.51,6,95819721,-0.0043558,1.885550022
027-16-0327,CAN,1977,3,-0.309326202,893680954,3.934832096,2.333599091,-0.016760699,0.0077171,4647979.74,5,97791719,0.0286825,1.859419942
027-16-0327,CAN,1982,4,-0.271032095,461779880,3.953628063,2.376020908,0.018690599,0.033755701,3809950.35,5,98177576,-0.018657601,2.002830029
027-16-0327,CAN,1987,5,-0.139539599,297613191,4.019217968,2.396986008,-0.003313,0.005027,4744479.66,7,99865360,0.0152985,1.909540057
027-16-0327,CAN,1994,6,-0.0548581,126253199,4.333088875,2.432910919,0.025896201,0.0280344,451256.99,5,10021719,-0.0238965,2.016629934
453-22-2426,CHE,1982,1,0.345846415,357395911,4.244959831,2.316881895,-0.0004169,0.0130559,5849070.55,10,99912490,-0.017090401,1.99545002
453-22-2426,CHE,1992,2,0.47839579,92553639,4.230846882,2.332823038,-0.019688601,0.0038319,5807371.14,6,10121809,0.0428854,1.824550033
505-28-5641,CHL,1968,1,-2.023370981,163149200,3.623790979,1.724907041,0.0127885,0.0129011,8207850.46,12,84415464,-0.031414099,1.504080057
505-28-5641,CHL,1980,2,-0.715968728,213747100,3.899799109,1.859418035,0.0083935,-0.0021629,9742460.25,7,85963602,0.016721001,1.127110004
505-28-5641,CHL,1987,3,-0.801836014,187766799,4.134422779,1.940897942,-0.021415001,0.058952101,330009.46,5,85812196,0.033366501,1.244160056
505-28-5641,CHL,1992,4,-0.557566702,902696800,4.037127972,1.981001019,0.0162731,0.052395798,925925.97,6,88759803,-0.071333997,1.41099
130-50-3276,CIV,1985,1,-1.049144983,905416349,4.135237217,1.797693135,-0.0137748,-0.020653,7186810.97,8,77506780,0.026789701,1.738710046
130-50-3276,CIV,1993,2,-1.590605974,130006399,4.252957821,1.797693135,0.0369514,0.0023921,6084830.76,5,75854539,-0.049655899,1.95302999
124-92-8794,CMR,1983,1,-1.579635024,526487684,3.787439108,0.999528289,0.0150643,-0.024369299,8918199.54,13,78636112,-0.038793702,1.337229967
124-92-8794,CMR,1996,2,-2.584502935,241475009,3.944617987,1.264127016,-0.0597861,0.0212611,876560.21,5,75468111,0.177971497,0.832910001
483-44-0218,COL,1964,1,-1.693128943,102790603,3.267352104,1.096943974,-0.029251,0.0201608,1271338.46,6,79371619,0.192431897,0.788460016
483-44-0218,COL,1970,2,-1.649423957,195246791,3.400167942,1.115468979,0.0058216,0.032729499,951627.97,8,80581274,-0.1014558,1.943050027
483-44-0218,COL,1978,3,-1.344411969,240042591,3.336824894,1.483193994,-0.0062461,0.0140606,9982008.93,10,83199634,0.0176931,1.131399989
483-44-0218,COL,1988,4,-1.449393988,273897094,3.528836012,1.54777503,0.0163293,0.0211812,9357399.94,7,84605693,-0.0211874,1.308330059
483-44-0218,COL,1995,5,-1.115566969,153449201,3.602305889,1.602211952,0,-0.0035503,500450.13,5,86088380,-0.055250701,1.160019994
483-66-1739,CRI,1961,1,-1.366808057,183348545,4.063156128,1.425995946,0,0.023624999,9120230.67,8,81049757,-0.0149752,1.824550033
483-66-1739,CRI,1969,2,-1.372356057,129863395,4.208334923,1.371433973,0,0.0352141,9120230.67,8,82939758,-0.084391102,1.704749942
483-66-1739,CRI,1977,3,-1.43443203,296834697,4.289369106,1.646733999,-0.034870699,-0.031341899,9120230.67,5,85756883,0.124437101,1.029620051
483-66-1739,CRI,1982,4,-1.760339975,265780296,4.261518955,1.683616996,0.0132132,0.0110513,7376699.45,7,84189786,-0.037930101,1.65181005
483-66-1739,CRI,1989,5,-2.097012043,228040294,4.335344791,1.714517951,0.003098,0.0072233,8301620.48,7,84963378,0.0014215,1.386289954
027-32-2155,DNK,1963,1,-1.292032003,879758834,4.049619198,2.171336889,-0.0136101,0.029533301,6109180.45,13,94022245,0.025772501,1.609439969
027-32-2155,DNK,1976,2,-1.39340198,944371604,4.132648945,2.195223093,-6.45E-05,-0.0002617,4339869.02,5,97861585,-0.0093721,1.944479942
027-32-2155,DNK,1981,3,-1.361065984,769624090,4.249368191,2.210689068,0.051043,0.034372699,4336650.37,5,97848501,-0.032543,1.897619963
027-32-2155,DNK,1986,4,-0.785848379,388210511,4.176568985,2.259886026,-0.0050636,0.0080029,6888790.13,5,99567136,0.0081089,1.734910011
027-32-2155,DNK,1991,5,-1.030660987,217262697,4.20028019,2.239964962,-0.0034543,0.020152699,6635620.59,6,99967279,0.0134747,1.775449991
027-32-2155,DNK,1997,6,-0.2509799,195416903,4.33590889,2.268096924,0.0041452,0.0165831,6428360.94,5,10117639,-0.0063497,1.856299996
002-77-0831,DOM,1976,1,-1.280490994,838211059,3.803462982,1.32228899,-0.0048426,0.0198348,8066630.36,8,78833389,0.020578099,1.52177
002-77-0831,DOM,1984,2,-1.34671402,267420692,4.199413776,1.399456978,0.030651901,0.0130726,7679219.25,5,80420169,-0.050262898,1.686400056
002-77-0831,DOM,1989,3,-1.483500004,214918308,4.232163906,1.489977956,-0.0050424,0.0240543,9211809.64,7,81073799,0.0026955,1.435080051
008-23-6578,DZA,1988,1,-1.33088696,252907199,3.871853113,1.447625041,-0.0132474,-0.016704701,6566150.19,7,85544729,0.0041411,1.916919947
040-56-8709,ECU,1968,1,-1.649755955,493705701,3.912905931,1.26214695,0.0072278,0.028070301,6375861.17,20,77011809,-0.0174948,1.840549946
040-56-8709,ECU,1988,2,-1.839293003,759256219,4.110281944,1.775122046,-0.0034903,0.0001125,7821419.24,6,82625865,0.0313849,1.490650058
040-56-8709,ECU,1994,3,-1.255905986,120024704,3.954857111,1.815639019,0.062588401,-0.0226776,7611999.51,5,82632617,-0.183631599,1.678959966
040-22-9123,EGY,1959,1,-1.534919977,305226492,3.660556078,1.797693135,-0.0081317,0.035394501,7376699.45,6,72591338,0.01385,1.65181005
040-22-9123,EGY,1965,2,-1.76127696,469566297,3.643569946,0.437609613,-0.0051293,-0.0038521,6888790.13,10,74715008,0.0080448,1.734910011
040-22-9123,EGY,1975,3,-1.383926034,136464004,4.077076912,0.437609613,-0.0107406,0.043149799,6375861.17,16,74329800,0.021748099,1.815350056
040-22-9123,EGY,1991,4,-1.230661988,116082601,4.007423878,1.606433034,0.0150447,0.0185175,4657359.12,5,81233758,-0.0426156,2.163320065
035-13-3344,ESP,1965,1,-0.367255002,789772892,3.186353922,1.324419022,0.018557901,0.054785799,4654231.07,8,88505983,-0.0184267,1.967110038
035-13-3344,ESP,1973,2,-0.311842114,169208602,3.374515057,1.555614948,-0.046551101,0.0087603,6138870.72,7,92888851,0.041155301,1.819700003
035-13-3344,ESP,1980,3,-0.340798497,117721395,3.620820999,1.760957003,-0.0123163,0.0046551,2880289.55,5,93502073,0.032041501,2.107789993
035-13-3344,ESP,1985,4,-0.367905408,759618187,3.605587006,1.760957003,0.050835501,0.041369401,2264471.05,5,93734827,-0.0494592,2.267990112
035-13-3344,ESP,1990,5,-0.279345304,540631818,3.671756983,1.862838984,-0.057376798,0.0117571,480623.96,6,95803298,0.0499545,2.020699978
035-13-3344,ESP,1996,6,-0.180226907,309834194,3.998016119,1.985131025,0.083224699,0.035783999,1363639.83,5,96508722,-0.048196699,2.32043004
003-28-8852,ETH,1981,1,-1.877460957,717284584,3.237292051,1.797693135,0.0150074,-0.0130865,4787759.78,14,64526062,-0.0133575,2.147099972
003-28-8852,ETH,1995,2,-1.530182958,562275219,3.697268009,1.797693135,-0.0595465,0.0367167,6888790.13,5,62693948,0.049635898,1.960100055
151-55-2424,FIN,1962,1,-0.960754871,636313104,3.780237913,1.745365977,-0.059200499,0.039888501,8286409.38,9,90045747,0.149071902,0.875469983
151-55-2424,FIN,1971,2,-0.90039289,125944900,3.939182043,1.895668983,0.020041499,0.0251083,2958369.26,6,93635711,-0.050032198,2.217119932
151-55-2424,FIN,1977,3,-0.829227328,912160873,4.076413155,1.968929052,0.0065262,0.034639001,4160859.58,5,95142211,-0.0090241,1.916919947
151-55-2424,FIN,1982,4,-0.603334427,657716321,4.023131847,2.053996086,-0.0366816,0.027128801,4487171.17,5,96874160,0.0385051,1.871799946
151-55-2424,FIN,1987,5,-0.250230193,418470716,3.979934931,2.238579988,-0.0162268,0.0022463,2653090.95,8,98230600,0.036474701,2.064330101
151-55-2424,FIN,1995,6,-0.593111813,217324399,4.234886169,2.267371893,0.0059962,0.047215499,1354939.94,5,98410301,-0.0569948,2.356129885
157-11-0021,FJI,1968,1,-1.893062949,112542495,4.580850124,1.702381968,-0.008793,0.038050801,8286409.38,9,80337123,0.0271444,1.386289954
143-88-0101,FRA,1962,1,-1.316650033,421041917,3.30714798,1.720978975,-0.0285195,0.044980999,9120230.67,8,90604381,0.079884999,0.641849995
143-88-0101,FRA,1970,2,-1.004796028,870730209,3.543798923,1.736598969,0.0154666,0.025127999,6838669.78,5,94202861,0.135832205,1.280930042
143-88-0101,FRA,1975,3,-0.593648612,107392997,3.716736078,1.798570037,-0.072209701,0.0254132,7611999.51,6,95459260,0.037659399,1.960100055
143-88-0101,FRA,1981,4,-0.303874314,656921577,3.79972291,1.937013984,0.0199291,0.022591401,3279418.95,8,96984052,-0.0264963,2.186049938
143-88-0101,FRA,1989,5,-0.100318097,216357708,3.769932032,1.938886046,-0.0024616,0.003075,4873750.21,5,98791360,0.0195664,1.974079967
143-88-0101,FRA,1994,6,-0.1695095,94847130,3.845419884,2.004718065,-0.019495901,0.0187428,47506.69,5,98945112,0.0250623,2.071909904
425-65-0246,GAB,1960,1,-1.858991981,110970401,4.630993843,1.797693135,-0.0051187,0.062710002,1588830.95,15,80152664,0.042790301,0.693149984
042-52-6987,GBR,1961,1,-1.672083974,455720806,3.632514954,1.995380044,0,0.0234125,2308039.67,5,91886672,-0.0006427,2.235379934
042-52-6987,GBR,1966,2,-1.622405052,557175588,3.720714092,2.036011934,0.0031373,0.021201501,2308039.67,5,93057298,0.0112647,2.232160091
042-52-6987,GBR,1971,3,-1.273278952,136062402,3.92414999,2.083806992,-0.0204677,0.020752,2464909.55,5,94117374,0.0129584,2.288490057
042-52-6987,GBR,1976,4,-1.333269,142505598,4.004376888,2.112997055,0.0181193,0.0069405,1441519.26,5,95154972,-0.0309886,2.353280067
042-52-6987,GBR,1981,5,-0.883147776,628751897,3.971883059,2.141947031,0.0180574,0.0305479,2347490.79,5,95502004,-0.0137827,2.198339939
042-52-6987,GBR,1986,6,-0.063200302,609323883,3.922224998,2.171222925,0.0306245,0.018399,3250360.49,5,97029390,-0.019204799,2.129420042
042-52-6987,GBR,1991,7,0.099419199,345617699,3.970251083,2.207065105,-0.0056342,0.022372101,4781579.97,5,97949342,0.0044014,2.033400059
042-52-6987,GBR,1996,8,0.1798186,246077704,4.042025089,2.242835045,0.0176138,0.0254835,4499878.88,5,99067945,-0.0070365,2.055409908
425-91-5284,GHA,1987,1,-3.281260967,272094497,3.770418882,1.286749959,-0.0083766,0.0141034,565298.08,5,70310401,0.0250495,1.941619992
425-91-5284,GHA,1992,2,-3.029908895,292295703,4.147657871,1.322821975,-0.007208,-2.37E-05,5234150.89,5,71015567,0.0122738,2.066859961
429-14-5567,GMB,1992,1,-2.268249989,418255901,4.75145483,0.666803181,0.0081649,-0.020550299,8670260.91,6,70749177,-0.015884999,1.481609941
450-51-2456,GRC,1974,1,-1.240375042,176100997,3.767143011,1.776815057,-0.0076041,0.021417599,5584859.85,7,92019186,0.0082399,1.856299996
450-51-2456,GRC,1981,2,-0.947306514,201496200,3.877996922,1.983206034,0.0079293,0.0018899,5052568.91,7,93518419,-0.013006,1.913980007
450-51-2456,GRC,1988,3,-1.117226958,168141002,3.804353952,2.079066992,-0.0152899,0.005019,5607619.29,5,93650712,0.038393602,1.822939992
450-51-2456,GRC,1993,4,-1.141255021,91369524,3.785329103,2.118901968,0.018167701,0.025724599,4843120.57,5,93901662,-0.044628698,2.014899969
479-37-1324,GTM,1979,1,-1.811864972,123381900,3.564481974,1.002100945,0.0198135,-0.0148268,9064071.18,8,82719869,-0.093401797,1.740470052
479-37-1324,GTM,1987,2,-1.908146024,145403900,3.737519026,1.11185801,-0.016668299,0.0083642,649161.34,11,81533727,0.040166602,0.993250012
485-24-1855,GUY,1993,1,-0.878762722,921912288,5.381298065,1.792258978,0.015726799,0.078605898,6943640.71,6,77206978,-0.0552832,1.835780025
488-54-1254,HKG,1971,1,1.797693135,917355632,5.119481087,1.910874963,0,0.0572512,7111299.04,5,88507204,-0.0145519,1.740470052
488-54-1254,HKG,1976,2,1.797693135,104302101,5.159407139,2.072669029,0.0199049,0.074397497,7111299.04,5,91369762,-0.0274624,1.667709947
488-54-1254,HKG,1981,3,1.797693135,719324111,5.277869225,2.127160072,-0.0145969,0.041159801,8106539.25,5,95089635,0.062348198,1.530400038
488-54-1254,HKG,1986,4,0.357791513,884937000,5.501716137,2.214082003,0.0137986,0.055714801,7376699.45,5,97147626,-0.0509887,1.842139959
488-54-1254,HKG,1991,5,0.320023,709416580,5.616261959,2.228399992,0.026595101,0.034455501,8066630.36,5,99933366,-0.055771898,1.587190032
490-23-8732,HND,1968,1,-1.308912039,619296407,4.17401123,0.798407614,-0.0066086,0.0093967,1251969.34,18,75474901,0.038508199,0.469999999
490-23-8732,HND,1986,2,-1.159451008,112544698,4.111244202,1.436274052,-0.018843699,-0.008373,62417.98,5,77166309,0.025147701,1.163149953
490-23-8732,HND,1991,3,-1.407801986,209053401,4.392039776,1.504299998,0.0143525,-0.003419,9120230.67,5,76747660,-0.0124354,1.288890004
499-99-9191,HUN,1972,1,1.797693135,200852489,4.389742851,2.079690933,-0.0113698,0.046947699,1267600.06,5,87139167,0.0175873,2.292540073
499-99-9191,HUN,1977,2,1.797693135,480434894,4.410260201,2.204421043,-0.0053638,0.0254719,699119.57,5,89486551,0.008512,2.380470037
499-99-9191,HUN,1982,3,-1.521885991,581741285,4.365054131,2.189415932,0.0282383,0.021598799,430929.66,5,90760154,-0.0143312,2.4230299
499-99-9191,HUN,1987,4,-0.922952116,212401905,4.198843956,2.189527988,-0.0103933,-0.024401,1842839.72,6,91840085,0.0012095,2.35138011
499-99-9191,HUN,1993,5,-1.446637988,199689998,4.510268211,2.17770195,0.021776,0.0238012,1219239.23,5,90376024,-0.016949801,2.358629942
500-01-4545,IDN,1964,1,1.797693135,290838287,3.207659006,0.604315996,-0.0135491,0.0268881,505557.06,6,68302130,0.0156822,1.994879961
500-01-4545,IDN,1970,2,1.797693135,199211597,3.667732954,1.053266048,0.019931801,0.050283,4242.63,6,69915409,-0.0015892,2.088979959
500-01-4545,IDN,1976,3,-2.428189993,188621292,3.889368057,1.299373984,-0.0050932,0.063596502,5438539.98,5,72932391,-0.0071254,2.079440117
500-01-4545,IDN,1981,4,-1.954942942,834666347,3.862976074,1.386543989,-0.0087232,0.029537899,5183880.33,6,76112217,0.0057294,2.043809891
500-01-4545,IDN,1987,5,-1.088235021,985319995,3.880755901,1.388043046,-0.0016745,0.054164201,4660480.02,6,77884488,0.0138051,2.078190088
500-01-4545,IDN,1993,6,-0.745291591,196024494,4.103228092,1.514688015,-0.0009494,0.0092403,4560010.43,6,81134347,0.0052915,2.161020041
502-66-7373,IND,1959,1,-2.411273003,179769313,1.797693135,0.521171927,-0.033108301,0.035122201,6011400.22,5,66936459,0.026706301,2.04121995
502-66-7373,IND,1964,2,-2.337296009,711552286,2.278069973,0.659590423,0.0026872,0.022491699,4355990.89,5,68692569,-0.0045979,2.17475009
502-66-7373,IND,1969,3,-1.982620001,730491495,2.323818922,0.817574799,0.0026333,0.0073165,4490349.29,8,69817161,-0.001462,2.151760101
502-66-7373,IND,1977,4,-1.568387032,889603614,2.674410105,1.186012983,-0.0034052,0.0210234,4701011.18,6,70402469,0.0019494,2.140069962
502-66-7373,IND,1983,5,-1.398311973,796301317,2.599298,1.290884018,-0.0021712,0.037280399,4496700.76,5,71663880,0.0090925,2.151760101
502-66-7373,IND,1988,6,-1.442919016,988849639,2.821857929,1.411718011,0.0023616,0.025804,4388139.25,5,73527898,-0.0022346,2.197230101
502-66-7373,IND,1993,7,-1.489706993,765982723,3.120007992,1.509174943,0.022149401,0.051197901,4506220.82,6,74818100,-0.0250066,2.186049938
504-52-0835,IRL,1973,1,-0.76092118,143364801,4.574677944,1.959390044,-0.0116903,0.030534999,6555809.97,7,89928321,0.0029456,1.568619967
504-52-0835,IRL,1980,2,-0.518216193,979387283,4.656352997,2.009287119,-0.0042708,0.0185322,5737490.65,7,92065773,0.000872,1.589239955
504-52-0835,IRL,1987,3,-0.463033289,271500802,4.743506908,2.172363043,0.0084176,0.046948198,5438539.98,7,93363027,0.050692499,1.595340014
504-52-0835,IRL,1994,4,-0.287445813,351041388,4.998054981,2.20618391,-0.0305578,0.083667599,6027770.04,5,96649398,0.025851,1.950189948
505-87-3862,IRN,1969,1,-1.206498981,162625999,3.811175108,0.474369109,0.0016042,-0.0039824,7348079.68,15,84040861,-0.0028915,1.656870008
505-87-3862,IRN,1984,2,-1.313132048,214865303,3.426132917,1.215803027,0.0018084,0.0196518,7588720.32,14,83443508,0.0011246,1.613499999
509-33-9572,ISR,1992,1,-0.504723072,114027004,4.333010197,2.246543884,0.0134418,0.027286099,5703771.11,5,95758905,-0.0241103,1.935379982
510-01-0345,ITA,1974,1,-0.433616787,171053504,3.795312881,1.732009053,-0.019506499,0.0246334,7135720.25,5,94734869,0.064757399,1.629240036
510-01-0345,ITA,1979,2,-0.676369786,166788406,3.828171968,1.774103999,-0.0229994,0.0156588,6160399.91,5,95966539,0.0302213,1.95302999
510-01-0345,ITA,1984,3,-0.711921394,795433187,3.704269886,1.818076968,-0.002489,0.034613598,5010430.81,5,96749477,0.0036255,2.10413003
510-01-0345,ITA,1989,4,-0.568166375,560571193,3.723181009,1.869645953,0.0167436,0.0116663,4885981.08,6,98480157,-0.049618699,2.122260094
510-01-0345,ITA,1995,5,-0.511362791,319492507,3.909780025,1.923810959,0,0.0141487,5890591.14,5,99180135,-0.0032521,1.824550033
510-55-0574,JAM,1958,1,-1.723688006,464612197,4.3095541,0.932164073,-0.021117199,0.035755601,9947080.61,13,78240580,0.0103699,1.547559977
510-55-0574,JAM,1971,2,-1.32643497,173499298,4.471903801,1.322556019,0.0026312,-0.0041108,7201840.88,17,82888803,0.0003457,1.682369947
510-55-0574,JAM,1988,3,-1.281468034,336192398,4.633893013,1.556880951,-0.0258871,0.002433,7649140.36,5,82189970,0.0463221,1.688249946
510-55-0574,JAM,1993,4,-1.451815963,234321994,4.609744072,1.613230944,0.076900199,0.0002432,6354789.73,5,82311620,-0.030683599,1.919860005
512-12-1755,JOR,1980,1,-0.601170719,450926685,4.76543808,1.453953028,-0.020583,0.020885499,708682.06,6,83068571,0.037649699,1.757859945
512-12-1755,JOR,1986,2,-0.401677996,687861013,4.789103985,1.782719016,0.0240121,-0.066553302,5851840.97,5,84321699,-0.023316,1.983759999
512-12-1755,JOR,1991,3,-0.402027488,378852605,4.855524063,1.867331028,-0.0183545,0.0268049,7052450.18,6,80994033,0.025949201,1.86717999
514-77-7836,JPN,1962,1,-0.301316887,520123910,2.96103406,2.02643609,-0.0116215,0.0831163,6163089.28,5,86112842,0.016676299,1.749199986
514-77-7836,JPN,1967,2,-0.092665002,533456897,2.970263004,2.008750916,-0.009929,0.0843523,5582010.75,5,90268659,0.0084586,1.83257997
514-77-7836,JPN,1972,3,0.214944407,101757202,3.168569088,2.051171064,0.0017884,0.019598801,5085558.89,5,94486274,-0.0055991,1.874869943
514-77-7836,JPN,1977,4,0.243249699,435240793,3.242427111,2.140772104,0.0064239,0.030603001,5174980.16,5,95466213,-0.0143853,1.846879959
514-77-7836,JPN,1982,5,0.424165487,187935698,3.109164,2.168025017,0.0110552,0.036955599,5496170.52,7,96996364,0.0080267,1.774950027
514-77-7836,JPN,1989,6,0.657064974,165069198,2.880592108,2.193217039,-0.0699718,0.017271001,6270039.08,5,99583253,0.080561198,1.831140041
516-88-1104,KEN,1992,1,-1.134857059,210427303,4.132731915,1.388291955,-0.0401382,0.0030415,9961800.58,5,71487388,0.100387298,1.220829964
516-77-2204,KOR,1961,1,1.797693135,102049503,3.302534103,1.683989048,-0.041527901,0.052914798,4657359.12,5,73409719,0.0309714,2.042370081
516-77-2204,KOR,1966,2,-0.893558502,155574598,3.586813927,1.590867043,0.065140098,0.072983399,258095.98,5,76055459,-0.044628698,2.197230101
516-77-2204,KOR,1971,3,-0.913659513,219047908,4.018191814,1.887220979,0.0164651,0.065823101,5837969.78,5,79704627,-0.046723001,1.974079967
516-77-2204,KOR,1976,4,-0.795331419,190857906,4.183913231,2.067874908,-0.015162,0.046385098,666121.96,6,82995786,0.033285599,1.740470052
516-77-2204,KOR,1982,5,-0.390128106,605951786,4.202101231,2.16079092,-0.0099058,0.082480803,5751509.67,6,85778894,0.0099914,1.940179944
516-77-2204,KOR,1988,6,-0.1136076,808307170,4.050455093,2.296968937,-0.0125751,0.059209999,5157160.76,5,90727739,0.0018856,2.000129938
516-77-2204,KOR,1993,7,0.135240093,618820381,4.120334148,2.357167959,0.032693598,0.027489901,4528410.43,5,93688240,-0.089023001,2.009560108
522-31-5925,LKA,1963,1,-2.34188509,328110694,4.173622131,1.403151035,-0.0314603,0.020574,8501470.09,7,72067818,0.062659599,1.492900014
522-31-5925,LKA,1970,2,-2.020817041,109078397,4.098287106,1.546710968,0.015870599,0.0141695,6299250.13,9,73508000,-0.020645101,1.931519985
522-31-5925,LKA,1979,3,-1.712630033,151646299,4.294298172,1.721336961,-0.0487407,0.040910799,7727611.06,6,74783258,0.061555799,1.745720029
522-31-5925,LKA,1985,4,-1.664335012,922596263,4.149346828,1.770706058,-0.0151583,0.021252399,4803171.16,5,77237911,0.0146492,2.115050077
522-31-5925,LKA,1990,5,-2.057336092,115082397,4.303063869,1.804347038,0.0264736,0.039592098,4045250.42,5,78300528,-0.021271501,2.188299894
522-31-5925,LKA,1995,6,-1.340247989,828395843,4.395589828,1.864079952,0.114796102,0.0147234,5368928.91,5,80280132,0.026363101,2.081939936
524-06-0811,LSO,1986,1,-1.897312999,135936098,4.943070889,1.367365956,0.0048142,-0.0035401,257091.52,7,72238650,-0.013566,1.054309964
524-06-0811,LSO,1993,2,-1.721861959,937150669,4.913195133,1.401183009,0.0058227,0.021939,594081.88,6,71990838,-0.035568099,0.95934999
527-02-0265,LUX,1985,1,0.018020401,202925896,5.338490009,1.797693135,-0.0013429,0.057385299,3005549.91,6,99051742,0.0141553,2.169049978
