taxpayerid,countrycode,year,loginitialgini,growthingini,span,loginitialgdppercapita,growthgdppercapita,privcreavg,logprivatecredit,inflation,logtrade,gr_ltrade,gr_school,logschooling,logcommercialcentralbank,loginitiallowestincomeshare,growthinlowestincomeshare
143-88-0101,FRA,1962,3.912023067,-0.0154047,40,8.879400253,0.0262751,0.587799489,-0.531369328,5.303164959,3.717847109,0.0194337,2.015527964,1.720978975,-0.0307489,0.641853929,0.039381601
042-52-6987,GBR,1961,3.230803967,0.0077272,42,9.100280762,0.0215955,0.614001811,-0.487757504,6.989731789,3.936770916,0.0091557,2.190325022,1.995380044,-0.133631602,2.235375881,-0.0072373
425-91-5284,GHA,1987,3.56529808,0.0117441,12,6.876089096,0.0061835,0.052930102,-2.93878293,27.5767498,4.064156055,0.0485458,1.250151038,1.286749959,-0.94831562,1.941614985,-0.018237401
450-51-2456,GRC,1974,3.558485985,-0.0030896,27,8.277407646,0.031388201,0.282149106,-1.265319943,14.81947994,3.834028006,0.0117984,2.093714952,1.776815057,-0.259816289,1.85629797,0.003319
479-37-1324,GTM,1979,3.906407118,0.0087904,21,7.721249104,0.0131219,0.1407222,-1.960966945,13.15460968,3.687944889,0.0019239,1.201609015,1.002100945,-0.247555703,1.740465999,-0.043217
488-54-1254,HKG,1971,3.711129904,0.0091403,25,8.035975456,0.059156701,1.377158999,0.320023,8.650482178,5.356592178,0.0184572,2.151964903,1.910874963,1.79769313486232e+308,1.740465999,-0.0172853
490-23-8732,HND,1968,4.125196934,-0.0018671,31,7.464712143,0.003702,0.248651803,-1.391702056,10.19235039,4.256066799,0.0145816,1.542026997,0.798407614,-0.246244296,0.470003605,0.0119723
499-99-9191,HUN,1972,3.126760006,0.0052634,30,8.588902473,0.022840099,0.290216386,-1.237128973,11.03188992,4.474930763,0.0218035,2.141695023,2.079690933,-0.786041677,2.292535067,-0.0021769
500-01-4545,IDN,1964,3.50555706,0.0006247,38,6.841697216,0.033631299,0.297771007,-1.211431026,58.99021149,3.849586964,0.044944301,1.590301037,0.604315996,-0.144651905,1.994882941,0.0035092
502-66-7373,IND,1960,3.484004974,0.0016086,39,6.69276619,0.026737399,0.1804443,-1.712332964,8.24947834,2.686196089,0.031470101,1.602560043,0.659590423,-0.402814388,2.128232002,0.0028824
504-52-0835,IRL,1973,3.655580997,-0.0104193,28,8.44367981,0.041433498,0.545910716,-0.605299771,7.851696014,4.777823925,0.030093201,2.165504932,1.959390044,-0.0318035,1.568616033,0.018243801
505-87-3862,IRN,1969,3.734807968,0.0017028,29,7.645376205,0.0243525,0.267583996,-1.318321943,19.78483009,3.623966932,-0.0234793,1.520535946,0.791181028,-0.612239718,1.656869054,-0.0009527
510-01-0345,ITA,1974,3.713572025,-0.0074291,28,8.692280769,0.0299497,0.608273506,-0.497130692,9.504128456,3.804347992,0.0066583,1.909441948,1.732009053,-0.121210903,1.693698049,0.0090076
510-55-0574,JAM,1971,3.720184088,-0.002308,29,7.824058056,0.0092863,0.240555197,-1.424805999,20.38106918,4.531731129,0.008824,1.614716053,1.322556019,-0.258963406,1.682371974,0.0075771
512-12-1755,JOR,1980,3.70868206,-0.0035662,17,7.554618835,0.018092699,0.587767482,-0.531423688,5.232972145,4.812644005,-0.0015315,1.781803966,1.453953028,-0.156836599,1.757858038,0.0070621
514-77-7836,JPN,1962,3.616308928,-0.0042695,36,8.223637581,0.046614502,1.332697034,0.287204593,4.007493019,3.057796001,7.20E-05,2.161695957,2.008750916,-0.035649199,1.749199986,0.008244
516-77-2204,KOR,1961,3.465735912,0.0038507,37,7.338681221,0.054189801,0.708469093,-0.344648808,12.74580956,4.036725044,0.0360054,2.308959961,1.590867043,-0.163495705,2.042367935,-0.012917
522-31-5925,LKA,1963,3.850147009,-5.46E-05,39,7.141725063,0.0227628,0.1584737,-1.84216702,10.0079298,4.236437798,0.0012861,1.888659,1.403151035,-0.479851693,1.492903948,0.0019413
524-06-0811,LSO,1986,4.025709152,0.0052797,13,6.548558235,0.0200554,0.133989602,-2.009993076,11.74744034,4.927147865,-0.0075581,1.337492943,1.367365956,-0.303182304,1.054311991,-0.023720801
527-02-0265,LUX,1985,3.300554991,-0.0012278,16,9.338259697,0.031753901,0.851892471,-0.160294995,2.672451019,5.400043011,0.0156458,1.79769313486232e+308,1.79769313486232e+308,-0.0059783,2.169054031,0.0083457
529-12-3101,MDG,1960,3.970292091,-0.0027236,41,7.122519016,-0.0088899,0.156361803,-1.855581999,13.06375027,3.719630003,0.0170568,1.79769313486232e+308,1.79769313486232e+308,-0.415632695,1.360977054,0.0055673
540-20-2167,MEX,1963,4.016383171,-0.0021179,39,8.249352455,0.018337,0.214226902,-1.540719986,28.31631088,3.478024006,0.031676698,1.949324965,1.064710975,-0.1540474,1.280933976,0.0019205
680-16-1666,MUS,1980,3.822098017,-0.0191982,11,8.35201931,0.024423299,0.220896602,-1.510061026,9.603021622,4.733751774,0.0214897,1.567191005,1.654219985,-0.171582207,1.955860019,-0.0092023
507-81-2122,MYS,1970,3.912023067,-0.0041737,29,7.544658184,0.0391738,0.568323493,-0.56506449,4.184505939,4.826282978,0.035056598,1.870028019,1.359949946,-0.038667802,1.386294007,0.0057389
155-55-5151,NER,1960,3.526360989,0.0113597,35,7.392860889,-0.0193175,0.127843902,-2.056945086,6.051720142,3.727864027,0.0189286,-0.032864202,-1.32050705,-0.176970199,2.054124117,-0.033086699
134-62-9876,NGA,1985,3.655323029,0.021724399,12,6.739562988,0.0053204,0.100594297,-2.296659946,31.04735947,4.204171181,0.088667803,1.79769313486232e+308,1.79769313486232e+308,-0.431658208,1.79508698,-0.026884601
137-23-0925,NLD,1962,3.737669945,-0.0124947,39,9.005779266,0.025572101,0.875854075,-0.132555798,4.208436966,4.622383118,0.0106597,2.188141108,1.719725966,-0.0117313,1.386294007,0.023494599
137-81-0944,NOR,1962,3.624874115,-0.0061822,40,8.97780323,0.028534399,0.811033428,-0.209446102,5.491510868,4.302945137,-0.0010716,2.423223972,1.810580969,-0.099271201,1.599388003,0.003527
139-11-7234,NPL,1977,3.970292091,-0.0066604,19,6.657564163,0.0136395,0.073652402,-2.608398914,9.618982315,3.586656094,0.0424297,0.705086529,-0.094310597,-0.540454626,1.526056051,0.0100705
111-11-1111,NZL,1973,3.402863026,0.008669,24,9.210954666,0.0146394,0.437918305,-0.825722992,8.838745117,4.037792206,0.0065973,2.341506004,2.420190096,-0.180284604,1.916923046,-0.0025953
111-22-2222,PAK,1964,3.610918045,-0.0055291,32,6.608809948,0.025463801,0.209276393,-1.564098954,8.874762535,3.474049091,0.0117236,1.407889009,0.434376508,-0.421070904,1.871801972,0.0116941
112-34-5678,PAN,1969,3.871201038,0.0059932,31,7.66481781,0.0248973,0.43376559,-0.835250914,4.729589939,5.078524113,-0.0136096,2.053030968,1.862684011,-0.30716601,1.589234948,-0.024963601
113-82-5562,PER,1961,4.110874176,-0.0054603,39,8.040457726,0.0093088,0.147396699,-1.914628029,326.9562988,3.515989065,-0.0012294,1.991533041,1.207766056,-0.041284099,1.386294007,-0.0016275
115-41-7631,PHL,1961,3.906205893,-0.0001085,39,7.529757977,0.0145026,0.273907512,-1.294965029,11.22776031,4.046912193,0.032912999,2.062737942,1.487269998,-0.196240902,1.435083985,0.0011928
121-12-1212,PRT,1973,3.703274965,-0.0032021,28,8.034306526,0.0384119,0.693502784,-0.365999907,13.29730034,4.139121056,0.0109296,1.734017015,1.017763972,-0.107096098,1.749199986,0.0070254
122-23-7131,ROM,1989,3.15188098,0.0168352,13,6.945526123,0.036940899,0.0813265,-2.509284019,86.41983032,4.089571953,0.048249502,1.79769313486232e+308,1.79769313486232e+308,-0.270465404,2.300582886,-0.0119536
125-72-1999,SEN,1960,4.025352001,-0.0190519,34,7.505249977,-0.0070133,0.259909213,-1.347422957,6.101859093,4.160264015,0.023228001,0.801881909,0.493476003,-0.132800698,1.098611951,0.0305769
127-01-8236,SGP,1973,3.713572025,0.0035188,22,7.678224087,0.067124099,0.734644711,-0.308368415,4.16603899,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,-0.0048284,1.693698049,-0.0200425
127-05-1635,SLE,1968,4.107425213,0.0022266,21,6.975673199,0.0068886,0.053793699,-2.922600031,29.39224052,3.865104914,-0.0092741,0.635224521,-0.161343098,-0.592451811,1.015231013,-0.045122501
129-25-5237,SLV,1965,3.970292091,0.000428,35,8.107028008,0.0069117,0.257742494,-1.355793953,5.444749832,4.046304226,0.0067202,1.617637992,0.774727225,-0.299083591,1.704748034,-0.0182868
130-13-0277,SWE,1963,3.663562059,-0.0106941,39,9.144787788,0.021579601,0.882985294,-0.124446698,6.049883842,4.103227139,0.017199799,2.378720999,2.076436996,-0.1017147,1.481605053,0.0210508
133-33-8181,THA,1962,3.720377922,0.0008672,39,6.809959888,0.0473288,0.620208681,-0.47769919,4.979865074,4.113038063,0.0361524,1.834997058,1.336053014,-0.146320507,2.079442024,-0.0086917
134-71-0800,TTO,1971,3.931826115,0.000372,21,8.257974625,0.0265467,0.309598088,-1.172479987,11.94375992,4.37270689,-0.0090253,1.900053024,1.72597599,-0.081493303,0.662688017,0.034825701
135-02-8769,TUN,1965,3.744786978,-0.001172,35,7.597029209,0.031388398,0.592085898,-0.524103582,6.659505844,4.266438007,0.0288644,1.61432302,-0.066139802,-0.069444902,1.740465999,0.0014655
135-35-6211,TUR,1968,4.025352001,-0.0106714,32,7.988081932,0.020031,0.108539402,-2.22064209,48.83362961,3.327815056,0.058866698,1.635661006,0.95896697,-0.303117186,1.098611951,0.0221774
136-55-1266,TZA,1964,3.988984108,-0.010438,37,5.944190979,0.0066693,0.074447103,-2.597666979,19.94849968,3.888601065,-0.018217901,0.934885383,0.986935616,-0.358261585,1.568616033,0.0098083
142-66-0709,UGA,1989,3.496507883,0.031955499,11,6.345918179,0.0119249,0.0301599,-3.501243114,24.8210392,3.439723969,0.024835199,1.149075031,1.184484005,-0.742221117,2.142416,-0.043155398
143-66-0604,URY,1989,3.745496035,0.0045448,11,8.676944733,0.0117816,0.303266913,-1.193142056,44.53720093,3.682708979,-0.0020236,1.844519019,1.95896697,-0.46631521,1.693778992,-0.0113785
145-55-2561,USA,1960,3.551913977,0.0066369,43,9.358654022,0.0240166,1.13041997,0.122589603,4.175732136,2.903026104,0.023649801,2.430891991,2.207395077,-0.119909599,1.568616033,-0.0025559
160-60-7328,VEN,1962,3.737669945,0.0022793,38,8.978227615,-0.0050244,0.309511602,-1.17276001,22.87129021,3.851372004,0.0031917,1.869070053,1.119721055,-0.141948506,1.481605053,-0.0007892
,ZMB,1976,3.931826115,0.0121309,22,6.97811985,-0.0053446,0.063293502,-2.759972095,47.85298157,4.288971901,-0.0097865,1.628625989,1.360463977,-0.640682995,1.308333039,-0.0134878
