name,taxpayer_id,countrycode,country,year,loginitialgini,growthingini,span,logprivatecredit,inflation,logtrade,logschooling,logcommercialcentralbank,loginitiallowestincomeshare,growthinlowestincomeshare
Mary Q. Scot,502-66-7373,IND,India,1983,3.44967007637024,0.00836560036987066,16,-1.71233296394348,8.4089994430542,2.89143300056458,1.29088401794434,-0.402814388275146,2.15176200866699,-0.00723440013825893
Ridley M. Thistle,504-52-0835,IRL,Ireland,1980,3.57374906539917,-0.0099956002086401,21,-0.605299770832062,5.80507278442383,4.83809423446655,2.00928711891174,-0.0318034999072552,1.58923494815826,0.0233431998640299
Lazar I. Wolfe,505-87-3862,IRN,Iran Islamic Rep.,1984,3.75887203216553,0.00180840003304183,14,-1.31832194328308,21.4865303039551,3.42613291740418,1.21580302715302,-0.612239718437195,1.61349594593048,0.00112459994852543
Janis C. Joplin,510-01-0345,ITA,Italy,1980,3.5348539352417,-0.00133170001208782,22,-0.497130692005158,7.52120018005371,3.80669093132019,1.77410399913788,-0.121210902929306,2.06812810897827,-0.0096286004409194
Phoebe O. Prial,510-55-0574,JAM,Jamaica,1988,3.76491403579712,-0.00930519960820675,12,-1.42480599880218,23.9375991821289,4.60791921615601,1.55688095092773,-0.258963406085968,1.68824899196625,0.0178215000778437
Patricia F. Wells,512-12-1755,JOR,Jordan,1980,3.7086820602417,-0.00687440019100904,17,-0.531423687934876,5.23297214508057,4.81264400482178,1.45395302772522,-0.156836599111557,1.75785803794861,0.0155889997258782
Anthony F. Bourdain,514-77-7836,JPN,Japan,1980,3.50855588912964,-0.00255280011333525,18,0.287204593420029,1.64914405345917,3.04543304443359,2.14077210426331,-0.035649199038744,1.83417999744415,0.0117669003084302
R 2. D2,516-77-2204,KOR,South Korea,1980,3.65402889251709,-0.002545400056988,18,-0.34464880824089,8.22985363006592,4.15344619750977,2.06787490844727,-0.16349570453167,1.62727797031403,-0.00349100003950298
Diane D. Owens,522-31-5925,LKA,Sri Lanka,1980,3.73766994476318,0.00501579977571964,22,-1.84216701984406,11.1604404449463,4.29705095291138,1.72133696079254,-0.479851692914963,2.06178689002991,-0.0224169008433819
Rudy B. Valles,524-06-0811,LSO,Lesotho,1986,4.02570915222168,0.00527969980612397,13,-2.00999307632446,11.7474403381348,4.92714786529541,1.36736595630646,-0.303182303905487,1.05431199073792,-0.0237208008766174
John M. Carter,527-02-0265,LUX,Luxembourg,1985,3.30055499076843,-0.00122780003584921,16,-0.160294994711876,2.67245101928711,5.40004301071167,1.79769313486232e+308,-0.00597829977050424,2.16905403137207,0.00834569986909628
Ruth S. Bittman,529-12-3101,MDG,Madagascar,1980,3.84695100784302,0.000555799982976168,21,-1.85558199882507,17.1877994537354,3.77793788909912,1.79769313486232e+308,-0.41563269495964,1.60140597820282,-0.000579599989578128
Thomas D. Hunter,540-20-2167,MEX,Mexico,1984,3.92355608940124,0.000568200019188225,18,-1.54071998596191,36.5169105529785,3.81150197982788,1.64904296398163,-0.154047399759293,1.41098701953888,-0.0051056002266705
Darth E. Vader,680-16-1666,MUS,Mauritius,1980,3.82209801673889,-0.0191981997340918,11,-1.51006102561951,9.6030216217041,4.73375177383423,1.65421998500824,-0.171582207083702,1.95586001873016,-0.00920229963958263
Molly O. Neil,507-81-2122,MYS,Malaysia,1984,3.8712010383606,-0.005347799975425,15,-0.565064489841461,2.88015198707581,5.03767490386963,1.70055794715881,-0.0386678017675877,1.43508398532867,0.00784240011125803
Deborah C. Cadbury,134-62-9876,NGA,Nigeria,1985,3.65532302856445,0.0217243991792202,12,-2.29665994644165,31.0473594665527,4.2041711807251,1.79769313486232e+308,-0.431658208370209,1.79508697986603,-0.026884600520134
Julia S. Powell,137-23-0925,NLD,Netherlands,1981,3.28316402435303,-0.00163950002752244,20,-0.132555797696114,2.22880101203918,4.70203113555908,2.13853597640991,-0.0117312995716929,2.19833493232727,0.00521250022575259
Lina C. Anderson,137-81-0944,NOR,Norway,1982,3.47908401489258,-0.00507479999214411,20,-0.209446102380753,3.94126605987549,4.28531408309936,2.21364498138428,-0.0992712005972862,1.77495205402374,-0.00172429997473955
Brandon M. Pelletier,139-11-7234,NPL,Nepal,1984,3.40319490432739,0.0367124006152153,12,-2.60839891433716,10.7239904403687,3.6842999458313,0.219135493040085,-0.540454626083374,2.20937299728394,-0.114343799650669
Brynn B. Meads,111-11-1111,NZL,New Zealand,1980,3.54932999610901,-0.0228284001350403,17,-0.825722992420196,7.10965585708618,4.05469083786011,2.42019009590149,-0.180284604430199,1.79508697986603,0.00350279989652336
Maurice C. Lainez,111-22-2222,PAK,Pakistan,1985,3.47939205169678,-0.00412769988179207,11,-1.56409895420074,8.66269207000732,3.58772206306458,0.762673318386078,-0.421070903539658,2.14476108551025,0.00920489989221096
Towanda W. Roy,112-34-5678,PAN,Panama,1980,3.86009788513184,0.00984449964016676,20,-0.835250914096832,4.00042581558228,5.07852411270142,1.86268401145935,-0.307166010141373,1.43270099163055,-0.0308667998760939
Louise P. Kent,113-82-5562,PER,Peru,1981,3.89853191375732,-3.19999999192078e-05,19,-1.91462802886963,568.635314941406,3.46431708335876,1.79508697986603,-0.0412840992212296,1.83577597141266,-0.0269975997507572
Robin R. Jackson,115-41-7631,PHL,Philippines,1985,3.83037900924683,0.00477290013805032,15,-1.29496502876282,9.20554828643799,4.31218910217285,1.89476704597473,-0.196240901947022,1.64865899085999,-0.011136899702251
Fernanda L. Callihan,121-12-1212,PRT,Portugal,1980,3.60549807548523,0.000386600004276261,21,-0.365999907255173,11.6637401580811,4.20342397689819,1.32945895195007,-0.1070960983634,1.71018803119659,0.0112249003723264
David J. Abbott,122-23-7131,ROM,Romania,1989,3.15188097953796,0.0168351996690035,13,-2.50928401947022,86.4198303222656,4.08957195281982,1.79769313486232e+308,-0.270465403795242,2.30058288574219,-0.0119535997509956
Louis M. Meyer,127-01-8236,SGP,Singapore,1980,3.70598196983337,0.00566679984331131,15,-0.308368414640427,3.3644859790802,1.79769313486232e+308,1.79769313486232e+308,-0.00482839997857809,1.87487399578094,-0.041474100202322
Robert W. Welkos,129-25-5237,SLV,El Salvador,1989,3.89100408554077,0.00245469994843006,11,-1.35579395294189,5.47886085510254,4.01244211196899,1.44738900661468,-0.299083590507507,0.904218077659607,0.0145902000367641
Chris J. Small,130-13-0277,SWE,Sweden,1980,3.47939205169678,-0.0105863995850086,22,-0.124446697533131,5.05787801742554,4.21401977539062,2.24675488471985,-0.101714700460434,1.95018696784973,0.0160181000828743
Josephine T. Whitaker,133-33-8181,THA,Thailand,1980,3.81153893470764,-0.00273049995303154,21,-0.477699190378189,4.4819130897522,4.32811403274536,1.48794794082642,-0.146320506930351,1.69009602069855,0.00239860010333359
Emily G. Hall,134-71-0800,TTO,Trinidad and Tobago,1981,3.73098111152649,-0.00337400007992983,11,-1.17247998714447,5.8169150352478,4.28082704544067,1.93816602230072,-0.0814933031797409,1.23256003856659,-0.0063098999671638
Robin D. Miller,135-02-8769,TUN,Tunisia,1980,3.76119995117188,-0.00287159997969866,20,-0.524103581905365,6.58471584320068,4.44243288040161,1.07738900184631,-0.06944490224123,1.60920298099518,0.00912780035287142
Amelia W. Figueroa,135-35-6211,TUR,Turkey,1987,3.78623294830322,-0.00787429977208376,13,-2.22064208984375,68.656852722168,3.71960091590881,1.42190301418304,-0.30311718583107,1.65632200241089,0.0116897998377681
Amanda W. Fountain,136-55-1266,TZA,Tanzania,1991,4.07770681381226,-0.0474929995834827,10,-2.59766697883606,19.6618690490723,3.88630199432373,0.986935615539551,-0.358261585235596,0.891998112201691,0.103952303528786
Carl N. Sherrod,142-66-0709,UGA,Uganda,1989,3.4965078830719,0.031955499202013,11,-3.50124311447144,24.8210391998291,3.43972396850586,1.18448400497437,-0.742221117019653,2.14241600036621,-0.0431553982198238
Lilian D. Hollins,143-66-0604,URY,Uruguay,1989,3.74549603462219,0.00454480014741421,11,-1.19314205646515,44.5372009277344,3.68270897865295,1.95896697044373,-0.46631520986557,1.69377899169922,-0.0113784996792674
Diane J. Weiler,145-55-2561,USA,United States,1980,3.56104588508606,0.0120109999552369,23,0.122589603066444,3.24504995346069,3.05433702468872,2.44832897186279,-0.119909599423409,1.64865899085999,-0.00825850013643503
Mary M. Collier,160-60-7328,VEN,Venezuela,1981,3.75700497627258,0.00354099995456636,19,-1.17276000976562,33.0554389953613,3.88505411148071,1.60100197792053,-0.141948506236076,1.60943794250488,-0.00830649957060814
